Gray Level	Frequency
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		2230
32		0
33		0
34		0
35		328
36		0
37		1589
38		0
39		0
40		0
41		838
42		2463
43		0
44		1797
45		253
46		0
47		1642
48		2144
49		2704
50		1361
51		1895
52		0
53		5408
54		0
55		938
56		8395
57		1640
58		804
59		4129
60		1550
61		875
62		6660
63		476
64		2611
65		2217
66		1056
67		0
68		3257
69		4589
70		1786
71		0
72		3524
73		4094
74		6276
75		351
76		3926
77		0
78		4926
79		944
80		2792
81		2670
82		4360
83		2685
84		1062
85		4270
86		0
87		5006
88		3450
89		1541
90		4027
91		3493
92		0
93		570
94		6741
95		2819
96		0
97		4693
98		2397
99		844
100		6333
101		390
102		1620
103		569
104		4125
105		527
106		366
107		4491
108		324
109		0
110		6581
111		2252
112		785
113		1226
114		5627
115		503
116		1098
117		4332
118		4329
119		764
120		2702
121		2914
122		2463
123		0
124		655
125		1494
126		2904
127		1301
128		1136
129		652
130		1456
131		1481
132		0
133		0
134		710
135		2276
136		0
137		2062
138		0
139		630
140		0
141		626
142		1205
143		0
144		1508
145		392
146		667
147		0
148		647
149		795
150		1023
151		0
152		0
153		1085
154		0
155		1076
156		555
157		670
158		652
159		0
160		1859
161		667
162		247
163		694
164		281
165		2009
166		359
167		256
168		213
169		0
170		326
171		158
172		327
173		1966
174		290
175		223
176		582
177		0
178		87
179		209
180		1791
181		0
182		0
183		0
184		1024
185		0
186		0
187		2110
188		0
189		940
190		496
191		1280
192		0
193		2124
194		1994
195		427
196		613
197		3591
198		104
199		0
200		0
201		0
202		973
203		633
204		450
205		0
206		0
207		450
208		0
209		183
210		0
211		0
212		0
213		278
214		0
215		0
216		0
217		948
218		0
219		2064
220		0
221		0
222		2145
223		0
224		0
225		0
226		0
227		0
228		0
229		1282
230		0
231		0
232		0
233		0
234		0
235		0
236		0
237		416
238		0
239		0
240		0
241		0
242		0
243		0
244		0
245		0
246		0
247		0
248		0
249		0
250		0
251		0
252		0
253		0
254		0
255		0
