Gray Level	Frequency
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	2230
132	0
133	0
134	0
135	328
136	0
137	1589
138	0
139	0
140	0
141	838
142	2463
143	0
144	1797
145	253
146	0
147	1642
148	2144
149	2704
150	1361
151	1895
152	0
153	5408
154	0
155	938
156	8395
157	1640
158	804
159	4129
160	1550
161	875
162	6660
163	476
164	2611
165	2217
166	1056
167	0
168	3257
169	4589
170	1786
171	0
172	3524
173	4094
174	6276
175	351
176	3926
177	0
178	4926
179	944
180	2792
181	2670
182	4360
183	2685
184	1062
185	4270
186	0
187	5006
188	3450
189	1541
190	4027
191	3493
192	0
193	570
194	6741
195	2819
196	0
197	4693
198	2397
199	844
200	6333
201	390
202	1620
203	569
204	4125
205	527
206	366
207	4491
208	324
209	0
210	6581
211	2252
212	785
213	1226
214	5627
215	503
216	1098
217	4332
218	4329
219	764
220	2702
221	2914
222	2463
223	0
224	655
225	1494
226	2904
227	1301
228	1136
229	652
230	1456
231	1481
232	0
233	0
234	710
235	2276
236	0
237	2062
238	0
239	630
240	0
241	626
242	1205
243	0
244	1508
245	392
246	667
247	0
248	647
249	795
250	1023
251	0
252	0
253	1085
254	0
255	40022
