Gray Level	Frequency
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		0
94		0
95		0
96		0
97		0
98		0
99		0
100		2230
101		328
102		1589
103		0
104		838
105		2463
106		2050
107		1642
108		4848
109		3256
110		5408
111		938
112		10035
113		4933
114		2425
115		7136
116		5884
117		3257
118		6375
119		3524
120		10370
121		4277
122		4926
123		3736
124		7030
125		3747
126		4270
127		8456
128		5568
129		3493
130		7311
131		2819
132		7090
133		7567
134		2189
135		4652
136		4857
137		324
138		8833
139		2011
140		6130
141		5430
142		5093
143		5616
144		2463
145		2149
146		4205
147		1788
148		2937
149		0
150		2986
151		2062
152		630
153		1831
154		1508
155		1059
156		647
157		1818
158		0
159		1085
160		1631
161		1322
162		1859
163		914
164		975
165		2368
166		469
167		484
168		2293
169		513
170		582
171		296
172		1791
173		0
174		1024
175		2110
176		940
177		1776
178		2124
179		2421
180		4204
181		104
182		0
183		2056
184		0
185		450
186		183
187		0
188		278
189		0
190		948
191		2064
192		2145
193		0
194		0
195		0
196		1282
197		0
198		0
199		0
200		416
201		0
202		0
203		0
204		0
205		0
206		0
207		0
208		0
209		0
210		0
211		0
212		0
213		0
214		0
215		0
216		0
217		0
218		0
219		0
220		0
221		0
222		0
223		0
224		0
225		0
226		0
227		0
228		0
229		0
230		0
231		0
232		0
233		0
234		0
235		0
236		0
237		0
238		0
239		0
240		0
241		0
242		0
243		0
244		0
245		0
246		0
247		0
248		0
249		0
250		0
251		0
252		0
253		0
254		0
255		0
