Gray Level	Frequency
0		2230
1		0
2		0
3		0
4		328
5		0
6		0
7		1589
8		0
9		0
10		0
11		0
12		838
13		2463
14		0
15		0
16		1797
17		253
18		0
19		1642
20		0
21		2144
22		2704
23		1361
24		1895
25		0
26		0
27		5408
28		0
29		938
30		8395
31		0
32		1640
33		804
34		4129
35		1550
36		0
37		875
38		6660
39		476
40		2611
41		0
42		2217
43		1056
44		0
45		3257
46		0
47		4589
48		1786
49		0
50		3524
51		4094
52		0
53		6276
54		351
55		3926
56		0
57		0
58		4926
59		944
60		2792
61		2670
62		0
63		4360
64		2685
65		1062
66		4270
67		0
68		0
69		5006
70		3450
71		1541
72		0
73		4027
74		3493
75		0
76		570
77		6741
78		0
79		2819
80		0
81		4693
82		2397
83		0
84		844
85		6333
86		390
87		1620
88		0
89		569
90		4125
91		527
92		366
93		0
94		4491
95		324
96		0
97		6581
98		0
99		2252
100		785
101		1226
102		5627
103		503
104		0
105		1098
106		4332
107		4329
108		764
109		0
110		2702
111		2914
112		2463
113		0
114		0
115		655
116		1494
117		2904
118		1301
119		0
120		1136
121		652
122		1456
123		1481
124		0
125		0
126		0
127		710
128		2276
129		0
130		0
131		2062
132		0
133		630
134		0
135		0
136		626
137		1205
138		0
139		1508
140		0
141		392
142		667
143		0
144		647
145		0
146		795
147		1023
148		0
149		0
150		0
151		1085
152		0
153		1076
154		555
155		670
156		0
157		652
158		0
159		1859
160		667
161		0
162		247
163		694
164		281
165		2009
166		0
167		359
168		256
169		213
170		0
171		0
172		326
173		158
174		327
175		1966
176		0
177		290
178		223
179		582
180		0
181		87
182		0
183		209
184		1791
185		0
186		0
187		0
188		0
189		1024
190		0
191		0
192		0
193		2110
194		0
195		940
196		496
197		0
198		1280
199		0
200		2124
201		1994
202		0
203		427
204		613
205		3591
206		104
207		0
208		0
209		0
210		0
211		973
212		633
213		0
214		450
215		0
216		0
217		450
218		0
219		0
220		183
221		0
222		0
223		0
224		0
225		278
226		0
227		0
228		0
229		0
230		948
231		0
232		2064
233		0
234		0
235		0
236		2145
237		0
238		0
239		0
240		0
241		0
242		0
243		0
244		0
245		1282
246		0
247		0
248		0
249		0
250		0
251		0
252		0
253		0
254		0
255		416
