Gray Level	Frequency													
0	0													
1	0													
2	2558													
3	0													
4	2427													
5	0													
6	0													
7	2463													
8	1797													
9	253													
10	1642													
11	0													
12	2144													
13	0													
14	0													
15	2704													
16	1361													
17	0													
18	1895													
19	0													
20	0													
21	0													
22	0													
23	5408													
24	938													
25	0													
26	0													
27	0													
28	0													
29	0													
30	0													
31	0													
32	0													
33	8395													
34	1640													
35	804													
36	0													
37	0													
38	0													
39	4129													
40	1550													
41	875													
42	0													
43	0													
44	0													
45	0													
46	0													
47	0													
48	7136													
49	0													
50	0													
51	2611													
52	0													
53	2217													
54	1056													
55	0													
56	0													
57	3257													
58	0													
59	0													
60	0													
61	0													
62	4589													
63	1786													
64	0													
65	0													
66	0													
67	3524													
68	0													
69	0													
70	0													
71	4094													
72	0													
73	0													
74	0													
75	0													
76	0													
77	6627													
78	0													
79	0													
80	0													
81	3926													
82	0													
83	0													
84	0													
85	0													
86	4926													
87	944													
88	0													
89	2792													
90	0													
91	0													
92	2670													
93	0													
94	0													
95	0													
96	4360													
97	0													
98	0													
99	2685													
100	1062													
101	0													
102	0													
103	0													
104	4270													
105	0													
106	0													
107	0													
108	0													
109	5006													
110	0													
111	0													
112	3450													
113	0													
114	1541													
115	0													
116	0													
117	0													
118	4027													
119	0													
120	0													
121	3493													
122	570													
123	0													
124	0													
125	0													
126	0													
127	0													
128	6741													
129	0													
130	0													
131	2819													
132	0													
133	0													
134	0													
135	0													
136	4693													
137	0													
138	2397													
139	844													
140	0													
141	0													
142	0													
143	0													
144	0													
145	6723													
146	0													
147	2189													
148	0													
149	0													
150	0													
151	4125													
152	893													
153	0													
154	0													
155	0													
156	0													
157	4815													
158	0													
159	0													
160	0													
161	0													
162	0													
163	6581													
164	0													
165	0													
166	3037													
167	1226													
168	0													
169	0													
170	0													
171	0													
172	0													
173	6130													
174	0													
175	1098													
176	0													
177	0													
178	0													
179	4332													
180	0													
181	0													
182	0													
183	4329													
184	764													
185	0													
186	2702													
187	0													
188	0													
189	2914													
190	0													
191	0													
192	3118													
193	0													
194	1494													
195	0													
196	2904													
197	0													
198	1301													
199	1788													
200	0													
201	1456													
202	1481													
203	710													
204	0													
205	2276													
206	0													
207	2062													
208	1256													
209	0													
210	1205													
211	1900													
212	667													
213	647													
214	795													
215	1023													
216	1085													
217	1631													
218	1322													
219	0													
220	1859													
221	914													
222	975													
223	0													
224	2368													
225	953													
226	327													
227	0													
228	2479													
229	878													
230	0													
231	1791													
232	1024													
233	0													
234	2110													
235	1436													
236	1280													
237	0													
238	2124													
239	0													
240	1994													
241	1040													
242	0													
243	0													
244	0													
245	3695													
246	973													
247	1533													
248	461													
249	948				Equalized Ýmage									Original one
250	0													
251	2064													
252	0													
253	2145													
254	1282													
255	416													
